Date,"Weight (kg)","Fat mass (kg)","Bone mass (kg)","Muscle mass (kg)","Hydration (kg)",Comments
"2025-04-15 07:00:00",76.94,12.5,3.2,59.8,43.5,
"2025-04-16 07:00:00",76.97,12.5,3.2,59.8,43.5,
"2025-04-17 07:00:00",76.90,12.5,3.2,59.8,43.5,
"2025-04-18 07:00:00",76.88,12.5,3.2,59.8,43.5,
"2025-04-19 07:00:00",76.80,12.5,3.2,59.8,43.5,
"2025-04-20 07:00:00",76.72,12.5,3.2,59.8,43.5,
"2025-04-21 07:00:00",76.73,12.5,3.2,59.8,43.5,
"2025-04-22 07:00:00",76.81,12.5,3.2,59.8,43.5,
"2025-04-23 07:00:00",76.82,12.5,3.2,59.8,43.5,
"2025-04-24 07:00:00",76.86,12.5,3.2,59.8,43.5,
"2025-04-25 07:00:00",76.96,12.5,3.2,59.8,43.5,
"2025-04-26 07:00:00",76.99,12.5,3.2,59.8,43.5,
"2025-04-27 07:00:00",77.06,12.5,3.2,59.8,43.5,
"2025-04-28 07:00:00",77.01,12.5,3.2,59.8,43.5,
"2025-04-29 07:00:00",76.95,12.5,3.2,59.8,43.5,
"2025-04-30 07:00:00",76.88,12.5,3.2,59.8,43.5,
"2025-05-01 07:00:00",76.93,12.5,3.2,59.8,43.5,
"2025-05-02 07:00:00",76.87,12.5,3.2,59.8,43.5,
"2025-05-03 07:00:00",76.85,12.5,3.2,59.8,43.5,
"2025-05-04 07:00:00",76.75,12.5,3.2,59.8,43.5,
"2025-05-05 07:00:00",76.73,12.5,3.2,59.8,43.5,
"2025-05-06 07:00:00",76.63,12.5,3.2,59.8,43.5,
"2025-05-07 07:00:00",76.54,12.5,3.2,59.8,43.5,
"2025-05-08 07:00:00",76.53,12.5,3.2,59.8,43.5,
"2025-05-09 07:00:00",76.60,12.5,3.2,59.8,43.5,
"2025-05-10 07:00:00",76.67,12.5,3.2,59.8,43.5,
"2025-05-11 07:00:00",76.59,12.5,3.2,59.8,43.5,
"2025-05-12 07:00:00",76.60,12.5,3.2,59.8,43.5,
"2025-05-13 07:00:00",76.62,12.5,3.2,59.8,43.5,
"2025-05-14 07:00:00",76.58,12.5,3.2,59.8,43.5,
"2025-05-15 07:00:00",76.60,12.5,3.2,59.8,43.5,
"2025-05-16 07:00:00",76.62,12.5,3.2,59.8,43.5,
"2025-05-17 07:00:00",76.51,12.5,3.2,59.8,43.5,
"2025-05-18 07:00:00",76.57,12.5,3.2,59.8,43.5,
"2025-05-19 07:00:00",76.63,12.5,3.2,59.8,43.5,
"2025-05-20 07:00:00",76.56,12.5,3.2,59.8,43.5,
"2025-05-21 07:00:00",76.45,12.5,3.2,59.8,43.5,
"2025-05-22 07:00:00",76.46,12.5,3.2,59.8,43.5,
"2025-05-23 07:00:00",76.46,12.5,3.2,59.8,43.5,
"2025-05-24 07:00:00",76.46,12.5,3.2,59.8,43.5,
"2025-05-25 07:00:00",76.49,12.5,3.2,59.8,43.5,
"2025-05-26 07:00:00",76.55,12.5,3.2,59.8,43.5,
"2025-05-27 07:00:00",76.44,12.5,3.2,59.8,43.5,
"2025-05-28 07:00:00",76.38,12.5,3.2,59.8,43.5,
"2025-05-29 07:00:00",76.38,12.5,3.2,59.8,43.5,
"2025-05-30 07:00:00",76.32,12.5,3.2,59.8,43.5,
"2025-05-31 07:00:00",76.22,12.5,3.2,59.8,43.5,
"2025-06-01 07:00:00",76.20,12.5,3.2,59.8,43.5,
"2025-06-02 07:00:00",76.11,12.5,3.2,59.8,43.5,
"2025-06-03 07:00:00",76.09,12.5,3.2,59.8,43.5,
"2025-06-04 07:00:00",76.06,12.5,3.2,59.8,43.5,
"2025-06-05 07:00:00",75.94,12.5,3.2,59.8,43.5,
"2025-06-06 07:00:00",75.99,12.5,3.2,59.8,43.5,
"2025-06-07 07:00:00",75.96,12.5,3.2,59.8,43.5,
"2025-06-08 07:00:00",76.01,12.5,3.2,59.8,43.5,
"2025-06-09 07:00:00",76.05,12.5,3.2,59.8,43.5,
"2025-06-10 07:00:00",76.01,12.5,3.2,59.8,43.5,
"2025-06-11 07:00:00",75.99,12.5,3.2,59.8,43.5,
"2025-06-12 07:00:00",75.88,12.5,3.2,59.8,43.5,
"2025-06-13 07:00:00",75.78,12.5,3.2,59.8,43.5,
"2025-06-14 07:00:00",75.67,12.5,3.2,59.8,43.5,
"2025-06-15 07:00:00",75.65,12.5,3.2,59.8,43.5,
"2025-06-16 07:00:00",75.65,12.5,3.2,59.8,43.5,
"2025-06-17 07:00:00",75.68,12.5,3.2,59.8,43.5,
"2025-06-18 07:00:00",75.61,12.5,3.2,59.8,43.5,
"2025-06-19 07:00:00",75.58,12.5,3.2,59.8,43.5,
"2025-06-20 07:00:00",75.60,12.5,3.2,59.8,43.5,
"2025-06-21 07:00:00",75.62,12.5,3.2,59.8,43.5,
"2025-06-22 07:00:00",75.68,12.5,3.2,59.8,43.5,
"2025-06-23 07:00:00",75.65,12.5,3.2,59.8,43.5,
"2025-06-24 07:00:00",75.58,12.5,3.2,59.8,43.5,
"2025-06-25 07:00:00",75.49,12.5,3.2,59.8,43.5,
"2025-06-26 07:00:00",75.48,12.5,3.2,59.8,43.5,
"2025-06-27 07:00:00",75.52,12.5,3.2,59.8,43.5,
"2025-06-28 07:00:00",75.48,12.5,3.2,59.8,43.5,
"2025-06-29 07:00:00",75.45,12.5,3.2,59.8,43.5,
"2025-06-30 07:00:00",75.50,12.5,3.2,59.8,43.5,
"2025-07-01 07:00:00",75.47,12.5,3.2,59.8,43.5,
"2025-07-02 07:00:00",75.48,12.5,3.2,59.8,43.5,
"2025-07-03 07:00:00",75.53,12.5,3.2,59.8,43.5,
"2025-07-04 07:00:00",75.54,12.5,3.2,59.8,43.5,
"2025-07-05 07:00:00",75.61,12.5,3.2,59.8,43.5,
"2025-07-06 07:00:00",75.49,12.5,3.2,59.8,43.5,
"2025-07-07 07:00:00",75.42,12.5,3.2,59.8,43.5,
"2025-07-08 07:00:00",75.49,12.5,3.2,59.8,43.5,
"2025-07-09 07:00:00",75.49,12.5,3.2,59.8,43.5,
"2025-07-10 07:00:00",75.43,12.5,3.2,59.8,43.5,
"2025-07-11 07:00:00",75.47,12.5,3.2,59.8,43.5,
"2025-07-12 07:00:00",75.50,12.5,3.2,59.8,43.5,
"2025-07-13 07:00:00",75.47,12.5,3.2,59.8,43.5,
"2025-07-14 07:00:00",75.37,12.5,3.2,59.8,43.5,
"2025-07-15 07:00:00",75.31,12.5,3.2,59.8,43.5,
"2025-07-16 07:00:00",75.19,12.5,3.2,59.8,43.5,
"2025-07-17 07:00:00",75.15,12.5,3.2,59.8,43.5,
"2025-07-18 07:00:00",75.10,12.5,3.2,59.8,43.5,
"2025-07-19 07:00:00",75.04,12.5,3.2,59.8,43.5,
"2025-07-20 07:00:00",75.08,12.5,3.2,59.8,43.5,
"2025-07-21 07:00:00",75.02,12.5,3.2,59.8,43.5,
"2025-07-22 07:00:00",75.09,12.5,3.2,59.8,43.5,
"2025-07-23 07:00:00",74.98,12.5,3.2,59.8,43.5,
"2025-07-24 07:00:00",74.92,12.5,3.2,59.8,43.5,
"2025-07-25 07:00:00",74.96,12.5,3.2,59.8,43.5,
"2025-07-26 07:00:00",74.86,12.5,3.2,59.8,43.5,
"2025-07-27 07:00:00",74.75,12.5,3.2,59.8,43.5,
"2025-07-28 07:00:00",74.67,12.5,3.2,59.8,43.5,
"2025-07-29 07:00:00",74.55,12.5,3.2,59.8,43.5,
"2025-07-30 07:00:00",74.57,12.5,3.2,59.8,43.5,
"2025-07-31 07:00:00",74.56,12.5,3.2,59.8,43.5,
"2025-08-01 07:00:00",74.49,12.5,3.2,59.8,43.5,
"2025-08-02 07:00:00",74.38,12.5,3.2,59.8,43.5,
"2025-08-03 07:00:00",74.35,12.5,3.2,59.8,43.5,
"2025-08-04 07:00:00",74.33,12.5,3.2,59.8,43.5,
"2025-08-05 07:00:00",74.40,12.5,3.2,59.8,43.5,
"2025-08-06 07:00:00",74.39,12.5,3.2,59.8,43.5,
"2025-08-07 07:00:00",74.41,12.5,3.2,59.8,43.5,
"2025-08-08 07:00:00",74.43,12.5,3.2,59.8,43.5,
"2025-08-09 07:00:00",74.47,12.5,3.2,59.8,43.5,
"2025-08-10 07:00:00",74.53,12.5,3.2,59.8,43.5,
"2025-08-11 07:00:00",74.55,12.5,3.2,59.8,43.5,
"2025-08-12 07:00:00",74.59,12.5,3.2,59.8,43.5,
"2025-08-13 07:00:00",74.66,12.5,3.2,59.8,43.5,
"2025-08-14 07:00:00",74.68,12.5,3.2,59.8,43.5,
"2025-08-15 07:00:00",74.61,12.5,3.2,59.8,43.5,
"2025-08-16 07:00:00",74.64,12.5,3.2,59.8,43.5,
"2025-08-17 07:00:00",74.70,12.5,3.2,59.8,43.5,
"2025-08-18 07:00:00",74.75,12.5,3.2,59.8,43.5,
"2025-08-19 07:00:00",74.82,12.5,3.2,59.8,43.5,
"2025-08-20 07:00:00",74.85,12.5,3.2,59.8,43.5,
"2025-08-21 07:00:00",74.82,12.5,3.2,59.8,43.5,
"2025-08-22 07:00:00",74.89,12.5,3.2,59.8,43.5,
"2025-08-23 07:00:00",74.86,12.5,3.2,59.8,43.5,
"2025-08-24 07:00:00",74.78,12.5,3.2,59.8,43.5,
"2025-08-25 07:00:00",74.80,12.5,3.2,59.8,43.5,
"2025-08-26 07:00:00",74.83,12.5,3.2,59.8,43.5,
"2025-08-27 07:00:00",74.84,12.5,3.2,59.8,43.5,
"2025-08-28 07:00:00",74.73,12.5,3.2,59.8,43.5,
"2025-08-29 07:00:00",74.80,12.5,3.2,59.8,43.5,
"2025-08-30 07:00:00",74.69,12.5,3.2,59.8,43.5,
"2025-08-31 07:00:00",74.67,12.5,3.2,59.8,43.5,
"2025-09-01 07:00:00",74.64,12.5,3.2,59.8,43.5,
"2025-09-02 07:00:00",74.52,12.5,3.2,59.8,43.5,
"2025-09-03 07:00:00",74.60,12.5,3.2,59.8,43.5,
"2025-09-04 07:00:00",74.65,12.5,3.2,59.8,43.5,
"2025-09-05 07:00:00",74.57,12.5,3.2,59.8,43.5,
"2025-09-06 07:00:00",74.48,12.5,3.2,59.8,43.5,
"2025-09-07 07:00:00",74.54,12.5,3.2,59.8,43.5,
"2025-09-08 07:00:00",74.59,12.5,3.2,59.8,43.5,
"2025-09-09 07:00:00",74.65,12.5,3.2,59.8,43.5,
"2025-09-10 07:00:00",74.58,12.5,3.2,59.8,43.5,
"2025-09-11 07:00:00",74.63,12.5,3.2,59.8,43.5,
"2025-09-12 07:00:00",74.67,12.5,3.2,59.8,43.5,
"2025-09-13 07:00:00",74.65,12.5,3.2,59.8,43.5,
"2025-09-14 07:00:00",74.57,12.5,3.2,59.8,43.5,
"2025-09-15 07:00:00",74.62,12.5,3.2,59.8,43.5,
"2025-09-16 07:00:00",74.59,12.5,3.2,59.8,43.5,
"2025-09-17 07:00:00",74.51,12.5,3.2,59.8,43.5,
"2025-09-18 07:00:00",74.40,12.5,3.2,59.8,43.5,
"2025-09-19 07:00:00",74.39,12.5,3.2,59.8,43.5,
"2025-09-20 07:00:00",74.32,12.5,3.2,59.8,43.5,
"2025-09-21 07:00:00",74.23,12.5,3.2,59.8,43.5,
"2025-09-22 07:00:00",74.22,12.5,3.2,59.8,43.5,
"2025-09-23 07:00:00",74.28,12.5,3.2,59.8,43.5,
"2025-09-24 07:00:00",74.21,12.5,3.2,59.8,43.5,
"2025-09-25 07:00:00",74.22,12.5,3.2,59.8,43.5,
"2025-09-26 07:00:00",74.10,12.5,3.2,59.8,43.5,
"2025-09-27 07:00:00",74.08,12.5,3.2,59.8,43.5,
"2025-09-28 07:00:00",74.00,12.5,3.2,59.8,43.5,
"2025-09-29 07:00:00",73.98,12.5,3.2,59.8,43.5,
"2025-09-30 07:00:00",73.87,12.5,3.2,59.8,43.5,
"2025-10-01 07:00:00",73.80,12.5,3.2,59.8,43.5,
"2025-10-02 07:00:00",73.84,12.5,3.2,59.8,43.5,
"2025-10-03 07:00:00",73.87,12.5,3.2,59.8,43.5,
"2025-10-04 07:00:00",73.92,12.5,3.2,59.8,43.5,
"2025-10-05 07:00:00",73.90,12.5,3.2,59.8,43.5,
"2025-10-06 07:00:00",73.82,12.5,3.2,59.8,43.5,
"2025-10-07 07:00:00",73.77,12.5,3.2,59.8,43.5,
"2025-10-08 07:00:00",73.79,12.5,3.2,59.8,43.5,
"2025-10-09 07:00:00",73.76,12.5,3.2,59.8,43.5,
"2025-10-10 07:00:00",73.74,12.5,3.2,59.8,43.5,
"2025-10-11 07:00:00",73.82,12.5,3.2,59.8,43.5,
"2025-10-12 07:00:00",73.76,12.5,3.2,59.8,43.5,
"2025-10-13 07:00:00",73.83,12.5,3.2,59.8,43.5,
"2025-10-14 07:00:00",73.88,12.5,3.2,59.8,43.5,
"2025-10-15 07:00:00",73.80,12.5,3.2,59.8,43.5,
"2025-10-16 07:00:00",73.73,12.5,3.2,59.8,43.5,
"2025-10-17 07:00:00",73.81,12.5,3.2,59.8,43.5,
"2025-10-18 07:00:00",73.80,12.5,3.2,59.8,43.5,
"2025-10-19 07:00:00",73.77,12.5,3.2,59.8,43.5,
"2025-10-20 07:00:00",73.74,12.5,3.2,59.8,43.5,
"2025-10-21 07:00:00",73.68,12.5,3.2,59.8,43.5,
"2025-10-22 07:00:00",73.72,12.5,3.2,59.8,43.5,
"2025-10-23 07:00:00",73.81,12.5,3.2,59.8,43.5,
"2025-10-24 07:00:00",73.82,12.5,3.2,59.8,43.5,
"2025-10-25 07:00:00",73.76,12.5,3.2,59.8,43.5,
"2025-10-26 07:00:00",73.78,12.5,3.2,59.8,43.5,
"2025-10-27 07:00:00",73.75,12.5,3.2,59.8,43.5,
"2025-10-28 07:00:00",73.72,12.5,3.2,59.8,43.5,
"2025-10-29 07:00:00",73.78,12.5,3.2,59.8,43.5,
"2025-10-30 07:00:00",73.75,12.5,3.2,59.8,43.5,
"2025-10-31 07:00:00",73.74,12.5,3.2,59.8,43.5,
"2025-11-01 07:00:00",73.71,12.5,3.2,59.8,43.5,
"2025-11-02 07:00:00",73.74,12.5,3.2,59.8,43.5,
"2025-11-03 08:00:00",73.75,12.5,3.2,59.8,43.5,
"2025-11-04 08:00:00",73.70,12.5,3.2,59.8,43.5,
"2025-11-05 08:00:00",73.80,12.5,3.2,59.8,43.5,
"2025-11-06 08:00:00",73.78,12.5,3.2,59.8,43.5,
"2025-11-07 08:00:00",73.79,12.5,3.2,59.8,43.5,
"2025-11-08 08:00:00",73.91,12.5,3.2,59.8,43.5,
"2025-11-09 08:00:00",74.03,12.5,3.2,59.8,43.5,
"2025-11-10 08:00:00",73.99,12.5,3.2,59.8,43.5,
"2025-11-11 08:00:00",74.10,12.5,3.2,59.8,43.5,
"2025-11-12 08:00:00",74.03,12.5,3.2,59.8,43.5,
"2025-11-13 08:00:00",74.07,12.5,3.2,59.8,43.5,
"2025-11-14 08:00:00",74.04,12.5,3.2,59.8,43.5,
"2025-11-15 08:00:00",73.99,12.5,3.2,59.8,43.5,
"2025-11-16 08:00:00",73.95,12.5,3.2,59.8,43.5,
"2025-11-17 08:00:00",73.98,12.5,3.2,59.8,43.5,
"2025-11-18 08:00:00",73.99,12.5,3.2,59.8,43.5,
"2025-11-19 08:00:00",73.97,12.5,3.2,59.8,43.5,
"2025-11-20 08:00:00",74.04,12.5,3.2,59.8,43.5,
"2025-11-21 08:00:00",73.99,12.5,3.2,59.8,43.5,
"2025-11-22 08:00:00",74.04,12.5,3.2,59.8,43.5,
"2025-11-23 08:00:00",74.00,12.5,3.2,59.8,43.5,
"2025-11-24 08:00:00",73.98,12.5,3.2,59.8,43.5,
"2025-11-25 08:00:00",74.08,12.5,3.2,59.8,43.5,
"2025-11-26 08:00:00",74.14,12.5,3.2,59.8,43.5,
"2025-11-27 08:00:00",74.11,12.5,3.2,59.8,43.5,
"2025-11-28 08:00:00",74.15,12.5,3.2,59.8,43.5,
"2025-11-29 08:00:00",74.17,12.5,3.2,59.8,43.5,
"2025-11-30 08:00:00",74.18,12.5,3.2,59.8,43.5,
"2025-12-01 08:00:00",74.20,12.5,3.2,59.8,43.5,
"2025-12-02 08:00:00",74.26,12.5,3.2,59.8,43.5,
"2025-12-03 08:00:00",74.26,12.5,3.2,59.8,43.5,
"2025-12-04 08:00:00",74.33,12.5,3.2,59.8,43.5,
"2025-12-05 08:00:00",74.44,12.5,3.2,59.8,43.5,
"2025-12-06 08:00:00",74.51,12.5,3.2,59.8,43.5,
"2025-12-07 08:00:00",74.63,12.5,3.2,59.8,43.5,
"2025-12-08 08:00:00",74.64,12.5,3.2,59.8,43.5,
"2025-12-09 08:00:00",74.68,12.5,3.2,59.8,43.5,
"2025-12-10 08:00:00",74.71,12.5,3.2,59.8,43.5,
"2025-12-11 08:00:00",74.72,12.5,3.2,59.8,43.5,
"2025-12-12 08:00:00",74.82,12.5,3.2,59.8,43.5,
"2025-12-13 08:00:00",74.80,12.5,3.2,59.8,43.5,
"2025-12-14 08:00:00",74.75,12.5,3.2,59.8,43.5,
"2025-12-15 08:00:00",74.87,12.5,3.2,59.8,43.5,
"2025-12-16 08:00:00",74.92,12.5,3.2,59.8,43.5,
"2025-12-17 08:00:00",74.88,12.5,3.2,59.8,43.5,
"2025-12-18 08:00:00",74.85,12.5,3.2,59.8,43.5,
"2025-12-19 08:00:00",74.86,12.5,3.2,59.8,43.5,
"2025-12-20 08:00:00",74.94,12.5,3.2,59.8,43.5,
"2025-12-21 08:00:00",74.99,12.5,3.2,59.8,43.5,
"2025-12-22 08:00:00",75.10,12.5,3.2,59.8,43.5,
"2025-12-23 08:00:00",75.06,12.5,3.2,59.8,43.5,
"2025-12-24 08:00:00",75.05,12.5,3.2,59.8,43.5,
"2025-12-25 08:00:00",74.99,12.5,3.2,59.8,43.5,
"2025-12-26 08:00:00",74.99,12.5,3.2,59.8,43.5,
"2025-12-27 08:00:00",75.04,12.5,3.2,59.8,43.5,
"2025-12-28 08:00:00",75.04,12.5,3.2,59.8,43.5,
"2025-12-29 08:00:00",75.06,12.5,3.2,59.8,43.5,
"2025-12-30 08:00:00",75.00,12.5,3.2,59.8,43.5,
"2025-12-31 08:00:00",74.96,12.5,3.2,59.8,43.5,
