from,to,light (s),deep (s),rem (s),awake (s),wake up (s),duration to sleep (s),duration to wake up (s),snoring (s),snoring episodes,average heart rate,heart rate (min),heart rate (max)
2025-03-01T06:45:15.860Z,2025-03-01T15:11:00.000Z,15123,7562,7562,97,0,0,0,0,0,60,50,80
2025-03-02T08:44:13.681Z,2025-03-02T15:52:00.000Z,12831,6416,6416,4,0,0,0,0,0,60,50,80
2025-03-03T09:14:21.232Z,2025-03-03T16:54:00.000Z,13072,6536,6536,1435,0,0,0,0,0,60,50,80
2025-03-04T07:48:13.773Z,2025-03-04T16:09:00.000Z,14500,7250,7250,1047,0,0,0,0,0,60,50,80
2025-03-05T07:49:17.236Z,2025-03-05T15:24:00.000Z,13236,6618,6618,810,0,0,0,0,0,60,50,80
2025-03-06T09:33:47.908Z,2025-03-06T16:50:00.000Z,12756,6378,6378,660,0,0,0,0,0,60,50,80
2025-03-07T07:30:32.327Z,2025-03-07T15:24:00.000Z,13926,6963,6963,556,0,0,0,0,0,60,50,80
2025-03-08T07:55:00.570Z,2025-03-08T15:30:00.000Z,12841,6420,6420,1618,0,0,0,0,0,60,50,80
2025-03-09T07:42:56.630Z,2025-03-09T15:27:00.000Z,13367,6684,6684,1109,0,0,0,0,0,60,50,80
2025-03-10T07:33:53.749Z,2025-03-10T14:51:00.000Z,12775,6388,6388,676,0,0,0,0,0,60,50,80
2025-03-11T06:15:01.855Z,2025-03-11T14:21:00.000Z,13816,6908,6908,1526,0,0,0,0,0,60,50,80
2025-03-12T06:38:09.442Z,2025-03-12T15:12:00.000Z,15303,7652,7652,224,0,0,0,0,0,60,50,80
2025-03-13T06:43:41.939Z,2025-03-13T14:29:00.000Z,13675,6837,6837,569,0,0,0,0,0,60,50,80
2025-03-14T06:43:08.346Z,2025-03-14T14:10:00.000Z,13400,6700,6700,12,0,0,0,0,0,60,50,80
2025-03-15T06:37:26.291Z,2025-03-15T14:14:00.000Z,13565,6783,6783,263,0,0,0,0,0,60,50,80
2025-03-16T06:04:14.596Z,2025-03-16T14:04:00.000Z,14082,7041,7041,621,0,0,0,0,0,60,50,80
2025-03-17T07:51:50.841Z,2025-03-17T15:43:00.000Z,13718,6859,6859,834,0,0,0,0,0,60,50,80
2025-03-18T06:15:01.818Z,2025-03-18T14:54:00.000Z,15116,7558,7558,907,0,0,0,0,0,60,50,80
2025-03-19T06:44:11.395Z,2025-03-19T14:06:00.000Z,12787,6393,6393,935,0,0,0,0,0,60,50,80
2025-03-20T06:36:27.200Z,2025-03-20T14:32:00.000Z,14253,7127,7127,27,0,0,0,0,0,60,50,80
2025-03-21T05:13:26.755Z,2025-03-21T14:01:00.000Z,14947,7473,7473,1760,0,0,0,0,0,60,50,80
2025-03-22T05:57:03.474Z,2025-03-22T14:04:00.000Z,14353,7176,7176,511,0,0,0,0,0,60,50,80
2025-03-23T07:12:07.564Z,2025-03-23T15:28:00.000Z,14182,7091,7091,1387,0,0,0,0,0,60,50,80
2025-03-24T06:58:42.582Z,2025-03-24T14:49:00.000Z,13808,6904,6904,601,0,0,0,0,0,60,50,80
2025-03-25T07:09:15.606Z,2025-03-25T15:30:00.000Z,14639,7319,7319,767,0,0,0,0,0,60,50,80
2025-03-26T05:11:49.876Z,2025-03-26T14:39:00.000Z,16193,8096,8096,1645,0,0,0,0,0,60,50,80
2025-03-27T05:56:38.213Z,2025-03-27T14:15:00.000Z,14580,7290,7290,742,0,0,0,0,0,60,50,80
2025-03-28T07:48:56.803Z,2025-03-28T15:39:00.000Z,13806,6903,6903,591,0,0,0,0,0,60,50,80
2025-03-29T08:07:08.622Z,2025-03-29T15:12:00.000Z,12601,6300,6300,290,0,0,0,0,0,60,50,80
2025-03-30T05:15:33.429Z,2025-03-30T14:20:00.000Z,16166,8083,8083,335,0,0,0,0,0,60,50,80
2025-03-31T07:45:04.516Z,2025-03-31T15:48:00.000Z,14111,7056,7056,753,0,0,0,0,0,60,50,80
2025-04-01T05:22:15.887Z,2025-04-01T14:35:00.000Z,15689,7844,7844,1787,0,0,0,0,0,60,50,80
2025-04-02T06:17:46.253Z,2025-04-02T14:07:00.000Z,14048,7024,7024,57,0,0,0,0,0,60,50,80
2025-04-03T06:23:35.576Z,2025-04-03T14:55:00.000Z,15119,7560,7560,446,0,0,0,0,0,60,50,80
2025-04-04T07:21:16.613Z,2025-04-04T14:51:00.000Z,13165,6582,6582,654,0,0,0,0,0,60,50,80
2025-04-05T05:40:01.759Z,2025-04-05T14:22:00.000Z,15623,7812,7812,72,0,0,0,0,0,60,50,80
2025-04-06T06:19:03.108Z,2025-04-06T15:19:00.000Z,15564,7782,7782,1268,0,0,0,0,0,60,50,80
2025-04-07T08:04:49.605Z,2025-04-07T15:49:00.000Z,13716,6858,6858,418,0,0,0,0,0,60,50,80
2025-04-08T06:49:32.442Z,2025-04-08T15:38:00.000Z,15787,7894,7894,133,0,0,0,0,0,60,50,80
2025-04-09T05:41:47.368Z,2025-04-09T14:18:00.000Z,15470,7735,7735,33,0,0,0,0,0,60,50,80
2025-04-10T06:53:58.801Z,2025-04-10T14:44:00.000Z,13978,6989,6989,245,0,0,0,0,0,60,50,80
2025-04-11T06:14:09.270Z,2025-04-11T14:53:00.000Z,15244,7622,7622,642,0,0,0,0,0,60,50,80
2025-04-12T05:27:15.416Z,2025-04-12T14:27:00.000Z,15878,7939,7939,629,0,0,0,0,0,60,50,80
2025-04-13T07:33:34.533Z,2025-04-13T15:13:00.000Z,13561,6781,6781,443,0,0,0,0,0,60,50,80
2025-04-14T06:48:19.882Z,2025-04-14T14:35:00.000Z,13475,6738,6738,1050,0,0,0,0,0,60,50,80
2025-04-15T05:49:33.339Z,2025-04-15T14:08:00.000Z,14700,7350,7350,506,0,0,0,0,0,60,50,80
2025-04-16T08:01:10.003Z,2025-04-16T15:48:00.000Z,13817,6908,6908,376,0,0,0,0,0,60,50,80
2025-04-17T07:50:33.995Z,2025-04-17T15:54:00.000Z,13914,6957,6957,1178,0,0,0,0,0,60,50,80
2025-04-18T05:54:05.914Z,2025-04-18T14:14:00.000Z,14518,7259,7259,959,0,0,0,0,0,60,50,80
2025-04-19T06:49:23.707Z,2025-04-19T15:36:00.000Z,15701,7851,7851,193,0,0,0,0,0,60,50,80
2025-04-20T07:03:27.066Z,2025-04-20T15:25:00.000Z,14167,7083,7083,1759,0,0,0,0,0,60,50,80
2025-04-21T06:57:06.471Z,2025-04-21T15:49:00.000Z,15240,7620,7620,1434,0,0,0,0,0,60,50,80
2025-04-22T07:46:01.139Z,2025-04-22T15:23:00.000Z,13613,6806,6806,194,0,0,0,0,0,60,50,80
2025-04-23T06:26:41.105Z,2025-04-23T14:17:00.000Z,13467,6733,6733,1285,0,0,0,0,0,60,50,80
2025-04-24T06:46:42.102Z,2025-04-24T14:56:00.000Z,13899,6950,6950,1559,0,0,0,0,0,60,50,80
2025-04-25T07:54:44.112Z,2025-04-25T15:54:00.000Z,13859,6930,6930,1038,0,0,0,0,0,60,50,80
2025-04-26T07:30:23.834Z,2025-04-26T14:44:00.000Z,12859,6429,6429,299,0,0,0,0,0,60,50,80
2025-04-27T08:03:53.980Z,2025-04-27T15:59:00.000Z,13442,6721,6721,1622,0,0,0,0,0,60,50,80
2025-04-28T07:09:39.921Z,2025-04-28T15:29:00.000Z,14426,7213,7213,1109,0,0,0,0,0,60,50,80
2025-04-29T05:59:34.643Z,2025-04-29T14:25:00.000Z,14585,7293,7293,1155,0,0,0,0,0,60,50,80
2025-04-30T07:09:17.300Z,2025-04-30T14:37:00.000Z,13346,6673,6673,171,0,0,0,0,0,60,50,80
2025-05-01T06:02:43.822Z,2025-05-01T14:21:00.000Z,14904,7452,7452,87,0,0,0,0,0,60,50,80
2025-05-02T05:48:15.652Z,2025-05-02T14:21:00.000Z,15027,7514,7514,710,0,0,0,0,0,60,50,80
2025-05-03T05:56:20.166Z,2025-05-03T14:23:00.000Z,14481,7240,7240,1439,0,0,0,0,0,60,50,80
2025-05-04T08:32:23.480Z,2025-05-04T15:43:00.000Z,12683,6341,6341,471,0,0,0,0,0,60,50,80
2025-05-05T06:08:21.288Z,2025-05-05T14:07:00.000Z,14009,7004,7004,701,0,0,0,0,0,60,50,80
2025-05-06T07:25:05.476Z,2025-05-06T15:45:00.000Z,14149,7075,7075,1696,0,0,0,0,0,60,50,80
2025-05-07T07:24:39.060Z,2025-05-07T14:51:00.000Z,13209,6604,6604,363,0,0,0,0,0,60,50,80
2025-05-08T04:54:46.799Z,2025-05-08T14:15:00.000Z,16160,8080,8080,1294,0,0,0,0,0,60,50,80
2025-05-09T05:54:35.804Z,2025-05-09T14:06:00.000Z,13892,6946,6946,1700,0,0,0,0,0,60,50,80
2025-05-10T07:20:10.412Z,2025-05-10T14:59:00.000Z,13368,6684,6684,794,0,0,0,0,0,60,50,80
2025-05-11T07:30:55.542Z,2025-05-11T14:59:00.000Z,12828,6414,6414,1228,0,0,0,0,0,60,50,80
2025-05-12T07:05:51.445Z,2025-05-12T14:43:00.000Z,13700,6850,6850,29,0,0,0,0,0,60,50,80
2025-05-13T07:30:30.724Z,2025-05-13T15:40:00.000Z,14577,7288,7288,216,0,0,0,0,0,60,50,80
2025-05-14T06:21:17.132Z,2025-05-14T14:11:00.000Z,13503,6751,6751,1177,0,0,0,0,0,60,50,80
2025-05-15T08:03:37.810Z,2025-05-15T15:16:00.000Z,12762,6381,6381,419,0,0,0,0,0,60,50,80
2025-05-16T05:23:27.359Z,2025-05-16T14:02:00.000Z,15539,7770,7770,34,0,0,0,0,0,60,50,80
2025-05-17T04:33:13.750Z,2025-05-17T14:01:00.000Z,16135,8067,8067,1797,0,0,0,0,0,60,50,80
2025-05-18T06:22:40.062Z,2025-05-18T14:27:00.000Z,13900,6950,6950,1259,0,0,0,0,0,60,50,80
2025-05-19T05:51:41.092Z,2025-05-19T14:43:00.000Z,15550,7775,7775,778,0,0,0,0,0,60,50,80
2025-05-20T05:45:35.822Z,2025-05-20T14:40:00.000Z,15154,7577,7577,1755,0,0,0,0,0,60,50,80
2025-05-21T05:03:24.848Z,2025-05-21T14:00:00.000Z,16093,8046,8046,9,0,0,0,0,0,60,50,80
2025-05-22T05:43:29.621Z,2025-05-22T14:18:00.000Z,14975,7487,7487,921,0,0,0,0,0,60,50,80
2025-05-23T05:53:53.341Z,2025-05-23T14:40:00.000Z,15698,7849,7849,172,0,0,0,0,0,60,50,80
2025-05-24T07:07:03.917Z,2025-05-24T15:55:00.000Z,15338,7669,7669,1000,0,0,0,0,0,60,50,80
2025-05-25T05:23:23.512Z,2025-05-25T14:47:00.000Z,16033,8016,8016,1751,0,0,0,0,0,60,50,80
2025-05-26T06:54:33.880Z,2025-05-26T14:56:00.000Z,14363,7182,7182,159,0,0,0,0,0,60,50,80
2025-05-27T06:22:48.906Z,2025-05-27T14:21:00.000Z,14315,7158,7158,60,0,0,0,0,0,60,50,80
2025-05-28T06:07:47.744Z,2025-05-28T15:04:00.000Z,15478,7739,7739,1217,0,0,0,0,0,60,50,80
2025-05-29T07:20:07.927Z,2025-05-29T14:48:00.000Z,12954,6477,6477,965,0,0,0,0,0,60,50,80
2025-05-30T07:11:52.932Z,2025-05-30T15:40:00.000Z,15066,7533,7533,355,0,0,0,0,0,60,50,80
2025-05-31T07:02:48.181Z,2025-05-31T14:54:00.000Z,13535,6767,6767,1202,0,0,0,0,0,60,50,80
2025-06-01T06:49:36.678Z,2025-06-01T14:18:00.000Z,13095,6547,6547,714,0,0,0,0,0,60,50,80
2025-06-02T07:41:52.825Z,2025-06-02T15:39:00.000Z,13937,6968,6968,754,0,0,0,0,0,60,50,80
2025-06-03T07:54:08.531Z,2025-06-03T15:57:00.000Z,13902,6951,6951,1167,0,0,0,0,0,60,50,80
2025-06-04T07:41:01.930Z,2025-06-04T15:58:00.000Z,14551,7275,7275,716,0,0,0,0,0,60,50,80
2025-06-05T07:20:40.834Z,2025-06-05T15:38:00.000Z,14746,7373,7373,347,0,0,0,0,0,60,50,80
2025-06-06T06:56:11.805Z,2025-06-06T15:07:00.000Z,14243,7121,7121,963,0,0,0,0,0,60,50,80
2025-06-07T06:37:57.009Z,2025-06-07T14:51:00.000Z,13902,6951,6951,1779,0,0,0,0,0,60,50,80
2025-06-08T07:11:50.195Z,2025-06-08T14:53:00.000Z,13614,6807,6807,443,0,0,0,0,0,60,50,80
2025-06-09T06:49:15.777Z,2025-06-09T14:01:00.000Z,12779,6390,6390,346,0,0,0,0,0,60,50,80
2025-06-10T07:54:30.840Z,2025-06-10T15:31:00.000Z,13576,6788,6788,238,0,0,0,0,0,60,50,80
2025-06-11T06:29:41.012Z,2025-06-11T14:43:00.000Z,14698,7349,7349,204,0,0,0,0,0,60,50,80
2025-06-12T07:21:22.753Z,2025-06-12T15:32:00.000Z,13972,6986,6986,1492,0,0,0,0,0,60,50,80
2025-06-13T07:15:18.692Z,2025-06-13T14:54:00.000Z,13429,6715,6715,663,0,0,0,0,0,60,50,80
2025-06-14T06:56:04.925Z,2025-06-14T14:52:00.000Z,13883,6942,6942,788,0,0,0,0,0,60,50,80
2025-06-15T07:04:47.373Z,2025-06-15T14:25:00.000Z,12769,6384,6384,875,0,0,0,0,0,60,50,80
2025-06-16T05:15:25.364Z,2025-06-16T14:17:00.000Z,15787,7894,7894,920,0,0,0,0,0,60,50,80
2025-06-17T06:29:43.805Z,2025-06-17T15:38:00.000Z,15853,7927,7927,1190,0,0,0,0,0,60,50,80
2025-06-18T06:56:43.973Z,2025-06-18T15:16:00.000Z,14612,7306,7306,732,0,0,0,0,0,60,50,80
2025-06-19T04:54:21.810Z,2025-06-19T14:03:00.000Z,15844,7922,7922,1229,0,0,0,0,0,60,50,80
2025-06-20T06:05:29.143Z,2025-06-20T14:30:00.000Z,14632,7316,7316,1006,0,0,0,0,0,60,50,80
2025-06-21T05:46:50.658Z,2025-06-21T14:12:00.000Z,14277,7138,7138,1756,0,0,0,0,0,60,50,80
2025-06-22T08:17:33.918Z,2025-06-22T15:59:00.000Z,13312,6656,6656,1062,0,0,0,0,0,60,50,80
2025-06-23T06:17:35.606Z,2025-06-23T14:23:00.000Z,14401,7201,7201,322,0,0,0,0,0,60,50,80
2025-06-24T06:40:19.447Z,2025-06-24T14:21:00.000Z,13463,6732,6732,714,0,0,0,0,0,60,50,80
2025-06-25T06:05:05.575Z,2025-06-25T14:22:00.000Z,14653,7327,7327,508,0,0,0,0,0,60,50,80
2025-06-26T06:46:21.745Z,2025-06-26T15:41:00.000Z,15644,7822,7822,790,0,0,0,0,0,60,50,80
2025-06-27T08:18:49.025Z,2025-06-27T15:47:00.000Z,13309,6655,6655,272,0,0,0,0,0,60,50,80
2025-06-28T05:37:36.537Z,2025-06-28T14:29:00.000Z,15561,7780,7780,762,0,0,0,0,0,60,50,80
2025-06-29T05:25:26.151Z,2025-06-29T14:08:00.000Z,15562,7781,7781,230,0,0,0,0,0,60,50,80
2025-06-30T05:48:25.926Z,2025-06-30T14:52:00.000Z,15576,7788,7788,1462,0,0,0,0,0,60,50,80
2025-07-01T06:33:39.213Z,2025-07-01T14:45:00.000Z,14403,7202,7202,674,0,0,0,0,0,60,50,80
2025-07-02T06:00:40.149Z,2025-07-02T14:57:00.000Z,15195,7598,7598,1789,0,0,0,0,0,60,50,80
2025-07-03T07:52:37.666Z,2025-07-03T15:40:00.000Z,13981,6990,6990,81,0,0,0,0,0,60,50,80
2025-07-04T06:57:01.488Z,2025-07-04T15:12:00.000Z,14075,7037,7037,1549,0,0,0,0,0,60,50,80
2025-07-05T06:21:38.790Z,2025-07-05T14:33:00.000Z,14643,7322,7322,195,0,0,0,0,0,60,50,80
2025-07-06T07:15:18.298Z,2025-07-06T15:05:00.000Z,13469,6735,6735,1243,0,0,0,0,0,60,50,80
2025-07-07T05:44:14.824Z,2025-07-07T14:24:00.000Z,15568,7784,7784,49,0,0,0,0,0,60,50,80
2025-07-08T05:32:21.029Z,2025-07-08T14:09:00.000Z,15106,7553,7553,787,0,0,0,0,0,60,50,80
2025-07-09T07:24:45.865Z,2025-07-09T15:14:00.000Z,13757,6878,6878,641,0,0,0,0,0,60,50,80
2025-07-10T05:47:38.419Z,2025-07-10T14:36:00.000Z,15843,7921,7921,16,0,0,0,0,0,60,50,80
2025-07-11T06:52:55.849Z,2025-07-11T15:36:00.000Z,15463,7731,7731,458,0,0,0,0,0,60,50,80
2025-07-12T05:29:38.036Z,2025-07-12T14:51:00.000Z,16085,8043,8043,1512,0,0,0,0,0,60,50,80
2025-07-13T06:14:23.556Z,2025-07-13T14:20:00.000Z,13748,6874,6874,1640,0,0,0,0,0,60,50,80
2025-07-14T06:30:59.089Z,2025-07-14T14:38:00.000Z,14251,7125,7125,719,0,0,0,0,0,60,50,80
2025-07-15T07:57:53.739Z,2025-07-15T15:56:00.000Z,14054,7027,7027,578,0,0,0,0,0,60,50,80
2025-07-16T06:35:44.685Z,2025-07-16T14:56:00.000Z,14245,7123,7123,1525,0,0,0,0,0,60,50,80
2025-07-17T06:58:06.182Z,2025-07-17T15:52:00.000Z,15417,7709,7709,1199,0,0,0,0,0,60,50,80
2025-07-18T06:47:33.546Z,2025-07-18T14:55:00.000Z,14042,7021,7021,1163,0,0,0,0,0,60,50,80
2025-07-19T05:59:32.656Z,2025-07-19T14:22:00.000Z,14404,7202,7202,1340,0,0,0,0,0,60,50,80
2025-07-20T07:03:04.782Z,2025-07-20T14:46:00.000Z,13833,6916,6916,110,0,0,0,0,0,60,50,80
2025-07-21T06:36:52.946Z,2025-07-21T14:58:00.000Z,14354,7177,7177,1360,0,0,0,0,0,60,50,80
2025-07-22T05:12:19.722Z,2025-07-22T14:23:00.000Z,16100,8050,8050,841,0,0,0,0,0,60,50,80
2025-07-23T06:36:25.734Z,2025-07-23T14:04:00.000Z,13037,6519,6519,779,0,0,0,0,0,60,50,80
2025-07-24T06:49:46.635Z,2025-07-24T14:45:00.000Z,13947,6973,6973,620,0,0,0,0,0,60,50,80
2025-07-25T06:23:56.716Z,2025-07-25T15:05:00.000Z,15168,7584,7584,927,0,0,0,0,0,60,50,80
2025-07-26T06:04:04.824Z,2025-07-26T14:20:00.000Z,14282,7141,7141,1191,0,0,0,0,0,60,50,80
2025-07-27T04:58:46.908Z,2025-07-27T14:03:00.000Z,15875,7937,7937,904,0,0,0,0,0,60,50,80
2025-07-28T06:55:08.518Z,2025-07-28T15:43:00.000Z,15706,7853,7853,259,0,0,0,0,0,60,50,80
2025-07-29T06:29:41.782Z,2025-07-29T14:07:00.000Z,13654,6827,6827,130,0,0,0,0,0,60,50,80
2025-07-30T06:20:04.969Z,2025-07-30T14:08:00.000Z,13559,6779,6779,957,0,0,0,0,0,60,50,80
2025-07-31T07:30:33.922Z,2025-07-31T15:10:00.000Z,13527,6763,6763,512,0,0,0,0,0,60,50,80
2025-08-01T06:42:17.729Z,2025-08-01T14:30:00.000Z,13920,6960,6960,222,0,0,0,0,0,60,50,80
2025-08-02T06:51:12.044Z,2025-08-02T14:26:00.000Z,13245,6623,6623,797,0,0,0,0,0,60,50,80
2025-08-03T07:14:30.730Z,2025-08-03T15:58:00.000Z,15666,7833,7833,78,0,0,0,0,0,60,50,80
2025-08-04T07:56:28.212Z,2025-08-04T15:46:00.000Z,13998,6999,6999,175,0,0,0,0,0,60,50,80
2025-08-05T06:39:04.190Z,2025-08-05T14:51:00.000Z,14499,7250,7250,518,0,0,0,0,0,60,50,80
2025-08-06T06:14:28.024Z,2025-08-06T15:18:00.000Z,15454,7727,7727,1704,0,0,0,0,0,60,50,80
2025-08-07T06:57:46.868Z,2025-08-07T15:07:00.000Z,14190,7095,7095,973,0,0,0,0,0,60,50,80
2025-08-08T07:05:25.589Z,2025-08-08T14:43:00.000Z,13034,6517,6517,1387,0,0,0,0,0,60,50,80
2025-08-09T06:37:53.016Z,2025-08-09T14:30:00.000Z,13670,6835,6835,988,0,0,0,0,0,60,50,80
2025-08-10T06:24:27.383Z,2025-08-10T15:18:00.000Z,15867,7934,7934,278,0,0,0,0,0,60,50,80
2025-08-11T05:07:19.558Z,2025-08-11T14:03:00.000Z,15620,7810,7810,901,0,0,0,0,0,60,50,80
2025-08-12T06:12:59.351Z,2025-08-12T14:03:00.000Z,13676,6838,6838,848,0,0,0,0,0,60,50,80
2025-08-13T05:41:55.507Z,2025-08-13T14:55:00.000Z,15696,7848,7848,1793,0,0,0,0,0,60,50,80
