Date,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Completed
2025-03-09,2085.62,0,100,2109.82,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,225.10,30,150,50,25,220,72.09,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,105.68,2.5,0.8,2,3.5,true
2025-03-09,2391.22,0,100,2191.38,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,200.39,30,150,50,25,220,72.31,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,105.35,2.5,0.8,2,3.5,true
2025-03-10,2154.63,0,100,2177.41,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,232.78,30,150,50,25,220,79.96,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,139.49,2.5,0.8,2,3.5,true
2025-03-11,2481.46,0,100,2085.50,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,220.28,30,150,50,25,220,73.31,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,103.87,2.5,0.8,2,3.5,true
2025-03-12,2476.69,0,100,2038.61,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,241.68,30,150,50,25,220,81.04,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,108.75,2.5,0.8,2,3.5,true
2025-03-13,2099.80,0,100,2329.68,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,202.95,30,150,50,25,220,75.67,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,127.60,2.5,0.8,2,3.5,true
2025-03-14,2190.05,0,100,2344.04,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,229.68,30,150,50,25,220,71.95,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,129.33,2.5,0.8,2,3.5,true
2025-03-15,2147.34,0,100,2121.78,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,202.24,30,150,50,25,220,70.15,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,142.82,2.5,0.8,2,3.5,true
2025-03-16,2360.62,0,100,2086.48,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,206.54,30,150,50,25,220,83.39,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,136.13,2.5,0.8,2,3.5,true
2025-03-17,2485.14,0,100,2254.29,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,221.34,30,150,50,25,220,79.66,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,132.68,2.5,0.8,2,3.5,true
2025-03-18,2009.02,0,100,2096.05,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,244.05,30,150,50,25,220,86.19,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,142.54,2.5,0.8,2,3.5,true
2025-03-19,2229.47,0,100,2155.25,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,241.25,30,150,50,25,220,83.76,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,119.36,2.5,0.8,2,3.5,true
2025-03-20,2451.55,0,100,2215.57,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,243.40,30,150,50,25,220,84.11,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,135.33,2.5,0.8,2,3.5,true
2025-03-21,2311.35,0,100,2064.75,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,221.09,30,150,50,25,220,75.37,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,127.41,2.5,0.8,2,3.5,true
2025-03-22,2460.95,0,100,2004.86,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,238.54,30,150,50,25,220,88.37,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,105.74,2.5,0.8,2,3.5,true
2025-03-23,2192.71,0,100,2071.00,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,239.44,30,150,50,25,220,72.32,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,128.20,2.5,0.8,2,3.5,true
2025-03-24,2303.60,0,100,2000.18,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,231.51,30,150,50,25,220,81.52,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,114.54,2.5,0.8,2,3.5,true
2025-03-25,2492.07,0,100,2230.78,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,204.36,30,150,50,25,220,88.80,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,101.28,2.5,0.8,2,3.5,true
2025-03-26,2363.65,0,100,2368.48,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,234.20,30,150,50,25,220,74.37,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,139.00,2.5,0.8,2,3.5,true
2025-03-27,2423.68,0,100,2292.92,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,227.22,30,150,50,25,220,71.22,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,129.88,2.5,0.8,2,3.5,true
